"","prob.meio","prob.mito","Euploid","Mosaic Aneuploid","Fully Aneuploid","misclassification"
"8",0.395089432885293,2.52605639054056e-05,593,9,398,0.4
"13",0.398663574010882,0.000726332693933112,457,166,377,0.4
"36",0.356023054548188,0.000956377793911554,400,258,342,0.4
"14",0.423449279194401,0.000674907834561329,405,168,427,0.4
"18",0.401176744310893,0.00129560740492948,293,306,401,0.4
"12",0.379360212369678,6.78741764969301e-05,580,13,407,0.4
"15",0.397518333693329,0.000248883701246721,509,107,384,0.4
"24",0.368447977177096,0.000233555864470372,566,66,368,0.4
"1",0.417070144096627,0.00176230459819988,246,342,412,0.4
"24.1",0.368447977177096,0.000233555864470372,561,64,375,0.4
"1.1",0.417070144096627,0.00176230459819988,241,353,406,0.4
"14.1",0.423449279194401,0.000674907834561329,418,166,416,0.4
"34",0.421755983516942,0.000184073722278549,532,51,417,0.4
"16",0.380296089203227,0.00105726295413654,362,258,380,0.4
"29",0.368152100955242,0.000652180950532451,456,182,362,0.4
"15.1",0.397518333693329,0.000248883701246721,519,69,412,0.4
"17",0.36755679287401,0.000813019106374999,421,209,370,0.4
"4",0.414110097543827,6.55370919087635e-05,578,17,405,0.4
"27",0.371983493305515,0.000145689243992071,563,47,390,0.4
"35",0.351039976350479,0.000756694105076373,437,202,361,0.4
"33",0.368227731572727,0.00107992659214506,352,270,378,0.4
"33.1",0.368227731572727,0.00107992659214506,339,275,386,0.4
"33.2",0.368227731572727,0.00107992659214506,381,257,362,0.4
"38",0.368164044027674,0.000521464178979903,492,142,366,0.4
"14.2",0.423449279194401,0.000674907834561329,426,164,410,0.4
"13.1",0.398663574010882,0.000726332693933112,405,203,392,0.4
"31",0.372277158805668,0.00098741583300973,366,257,377,0.4
"14.3",0.423449279194401,0.000674907834561329,393,184,423,0.4
"27.1",0.371983493305515,0.000145689243992071,554,48,398,0.4
"17.1",0.36755679287401,0.000813019106374999,417,207,376,0.4
"30",0.370652825312079,0.0017227259827187,271,378,351,0.4
"32",0.416246152188672,0.000370238726535073,465,96,439,0.4
"33.3",0.368227731572727,0.00107992659214506,375,276,349,0.4
"38.1",0.368164044027674,0.000521464178979903,497,158,345,0.4
"10",0.431880396210188,0.00102357128648991,313,250,437,0.4
"16.1",0.380296089203227,0.00105726295413654,370,271,359,0.4
"8.1",0.395089432885293,2.52605639054056e-05,631,7,362,0.4
"28",0.376627667066558,0.000350469998992857,537,92,371,0.4
"15.2",0.397518333693329,0.000248883701246721,543,78,379,0.4
"13.2",0.398663574010882,0.000726332693933112,418,188,394,0.4
"24.2",0.368447977177096,0.000233555864470372,552,68,380,0.4
"14.4",0.423449279194401,0.000674907834561329,388,175,437,0.4
"34.1",0.421755983516942,0.000184073722278549,522,58,420,0.4
"9",0.419924545755512,0.000990666337425075,363,224,413,0.4
"22",0.35378384642752,0.000691600469993479,450,182,368,0.4
"22.1",0.35378384642752,0.000691600469993479,428,214,358,0.4
"10.1",0.431880396210188,0.00102357128648991,358,210,432,0.4
"37",0.428614562055402,0.000508195159483366,435,142,423,0.4
"25",0.360932267486261,0.000330987275059695,546,98,356,0.4
"22.2",0.35378384642752,0.000691600469993479,435,216,349,0.4
"9.1",0.419924545755512,0.000990666337425075,354,226,420,0.4
"18.1",0.401176744310893,0.00129560740492948,301,294,405,0.4
"1.2",0.417070144096627,0.00176230459819988,239,350,411,0.4
"35.1",0.351039976350479,0.000756694105076373,440,201,359,0.4
"21",0.401839278273664,0.00054611862516025,439,158,403,0.4
"13.3",0.398663574010882,0.000726332693933112,403,195,402,0.4
"25.1",0.360932267486261,0.000330987275059695,528,91,381,0.4
"9.2",0.419924545755512,0.000990666337425075,352,255,393,0.4
"13.4",0.398663574010882,0.000726332693933112,417,207,376,0.4
"6",0.388034852738886,0.000919798486072981,398,219,383,0.4
"25.2",0.360932267486261,0.000330987275059695,534,95,371,0.4
"20",0.42376220295423,0.00161946183225473,239,352,409,0.4
"5",0.414678595809525,0.000764738967681661,421,191,388,0.4
"39",0.37998402232552,0.000999129017857339,381,259,360,0.4
"29.1",0.368152100955242,0.000652180950532451,459,195,346,0.4
"19",0.373610190345496,0.000422537001587116,497,125,378,0.4
"3",0.403023392156786,0.000120800342988154,558,42,400,0.4
"18.2",0.401176744310893,0.00129560740492948,320,295,385,0.4
"30.1",0.370652825312079,0.0017227259827187,255,378,367,0.4
"18.3",0.401176744310893,0.00129560740492948,317,302,381,0.4
"37.1",0.428614562055402,0.000508195159483366,435,135,430,0.4
"13.5",0.398663574010882,0.000726332693933112,397,201,402,0.4
"34.2",0.421755983516942,0.000184073722278549,504,52,444,0.4
"39.1",0.37998402232552,0.000999129017857339,364,231,405,0.4
"9.3",0.419924545755512,0.000990666337425075,372,210,418,0.4
"4.1",0.414110097543827,6.55370919087635e-05,569,24,407,0.4
"21.1",0.401839278273664,0.00054611862516025,428,149,423,0.4
"25.3",0.360932267486261,0.000330987275059695,541,92,367,0.4
"12.1",0.379360212369678,6.78741764969301e-05,586,18,396,0.4
"24.3",0.368447977177096,0.000233555864470372,597,55,348,0.4
"4.2",0.414110097543827,6.55370919087635e-05,574,10,416,0.4
"38.2",0.368164044027674,0.000521464178979903,486,152,362,0.4
"3.1",0.403023392156786,0.000120800342988154,582,43,375,0.4
"30.2",0.370652825312079,0.0017227259827187,285,375,340,0.4
"1.3",0.417070144096627,0.00176230459819988,261,342,397,0.4
"5.1",0.414678595809525,0.000764738967681661,399,171,430,0.4
"28.1",0.376627667066558,0.000350469998992857,535,92,373,0.4
"23",0.368402908177209,0.000489317798292622,478,145,377,0.4
"21.2",0.401839278273664,0.00054611862516025,463,151,386,0.4
"11",0.348392175818141,0.000352443477351563,549,97,354,0.4
"38.3",0.368164044027674,0.000521464178979903,472,144,384,0.4
"6.1",0.388034852738886,0.000919798486072981,390,248,362,0.4
"26",0.376419148863153,0.000620718720207282,495,141,364,0.4
"27.2",0.371983493305515,0.000145689243992071,577,45,378,0.4
"21.3",0.401839278273664,0.00054611862516025,466,133,401,0.4
"1.4",0.417070144096627,0.00176230459819988,254,329,417,0.4
"2",0.407961041263904,1.36311686142064e-05,558,7,435,0.4
"14.5",0.423449279194401,0.000674907834561329,410,154,436,0.4
"1.5",0.417070144096627,0.00176230459819988,231,360,409,0.4
"16.2",0.380296089203227,0.00105726295413654,379,252,369,0.4
"28.2",0.376627667066558,0.000350469998992857,509,99,392,0.4
"2.1",0.407961041263904,1.36311686142064e-05,601,3,396,0.4
