   prop.aneu  prob.meio    prob.mito euploid mosaic aneuploid
1  0.6051172 0.41756468 0.0449651477    0.29   0.26      0.45
2  0.2909766 0.27557476 0.0057697699    0.70   0.03      0.27
3  0.6204297 0.30843252 0.0708325868    0.30   0.31      0.39
4  0.7734375 0.17908407 0.1498653968    0.06   0.34      0.60
5  0.5597656 0.08992604 0.0844350674    0.35   0.36      0.29
6  0.6301172 0.49237671 0.0709595587    0.17   0.34      0.49
7  0.5683203 0.60718138 0.0116657447    0.39   0.08      0.53
8  0.4082422 0.35825669 0.0151189070    0.53   0.11      0.36
9  0.8156250 0.34638825 0.1282561303    0.07   0.31      0.62
10 0.8354687 0.28561182 0.1512416801    0.05   0.37      0.58
11 0.8159375 0.41462053 0.1386077523    0.08   0.35      0.57
12 0.5309375 0.44710188 0.0186582373    0.41   0.12      0.47
13 0.7442188 0.52249520 0.0674997515    0.15   0.23      0.62
14 0.6172266 0.48023037 0.0283707739    0.36   0.12      0.52
15 0.8041016 0.44240215 0.1249216488    0.13   0.25      0.62
16 0.6684375 0.37953700 0.0822115468    0.25   0.25      0.50
17 0.6191797 0.54152663 0.0226488735    0.29   0.14      0.57
18 0.7144531 0.27849861 0.1298416986    0.12   0.39      0.49
19 0.5157422 0.39288208 0.0320330227    0.41   0.21      0.38
20 0.4011328 0.30083687 0.0261473735    0.48   0.19      0.33
21 0.3270703 0.10834007 0.0279955794    0.60   0.19      0.21
22 0.7723047 0.20773727 0.1510188070    0.06   0.36      0.58
23 0.7022656 0.16837742 0.1206089265    0.16   0.41      0.43
24 0.6769922 0.48091569 0.0485656834    0.17   0.26      0.57
25 0.4955469 0.20138858 0.0448198563    0.37   0.34      0.29
26 0.7352344 0.49641089 0.0783617981    0.19   0.23      0.58
27 0.5832031 0.56460999 0.0125519645    0.41   0.05      0.54
28 0.7748047 0.53430531 0.0788699870    0.13   0.24      0.63
29 0.8457031 0.09480022 0.1890541497    0.05   0.40      0.55
30 0.4346875 0.20138718 0.0307489729    0.46   0.22      0.32
31 0.3384766 0.31581287 0.0046071322    0.59   0.10      0.31
32 0.8083984 0.45688150 0.1249971760    0.09   0.29      0.62
33 0.4821875 0.26400116 0.0480534129    0.41   0.26      0.33
34 0.7001953 0.45034638 0.0623571549    0.18   0.24      0.58
35 0.8080469 0.50173175 0.1159929649    0.08   0.29      0.63
36 0.5075781 0.29446947 0.0379729231    0.37   0.28      0.35
37 0.4038281 0.19764353 0.0357461963    0.53   0.25      0.22
38 0.6130078 0.36575675 0.0467705713    0.28   0.24      0.48
39 0.8253125 0.28634508 0.1740448491    0.06   0.38      0.56
40 0.7834375 0.56602271 0.0938811593    0.14   0.21      0.65
41 0.5407812 0.53481612 0.0003763649    0.46   0.00      0.54
42 0.7796484 0.53673671 0.0952129341    0.11   0.29      0.60
43 0.6756250 0.28381331 0.0877535692    0.13   0.42      0.45
44 0.7102734 0.42101432 0.0951105272    0.16   0.33      0.51
45 0.8078906 0.38126119 0.1166837665    0.10   0.34      0.56
46 0.3803516 0.29423255 0.0072448135    0.55   0.09      0.36
47 0.7073047 0.61425693 0.0343037532    0.21   0.18      0.61
48 0.5075391 0.30162437 0.0473310200    0.37   0.24      0.39
49 0.5808984 0.22732404 0.0797290048    0.34   0.35      0.31
50 0.7853125 0.57038077 0.0876528879    0.11   0.25      0.64
