   prop.aneu prob.meio   prob.mito euploid mosaic aneuploid
1  0.6175391 0.5054422 0.027306501    0.30   0.17      0.53
2  0.6917969 0.5168651 0.041456220    0.24   0.15      0.61
3  0.6099609 0.5340670 0.014998435    0.36   0.05      0.59
4  0.5583594 0.2557645 0.055655262    0.35   0.31      0.34
5  0.6986328 0.2520030 0.102897577    0.16   0.35      0.49
6  0.5688281 0.2492915 0.074308917    0.26   0.39      0.35
7  0.6203125 0.5018459 0.033768538    0.32   0.13      0.55
8  0.6820312 0.5426383 0.035134261    0.23   0.21      0.56
9  0.6062109 0.6016601 0.008437288    0.39   0.03      0.58
10 0.6108984 0.3081869 0.072632442    0.26   0.29      0.45
11 0.6241797 0.4023995 0.065698322    0.22   0.33      0.45
12 0.5196875 0.1480283 0.064784934    0.37   0.37      0.26
13 0.3533984 0.1543888 0.030351154    0.57   0.20      0.23
14 0.5820312 0.1299105 0.086946182    0.25   0.42      0.33
15 0.6636719 0.6731945 0.004172891    0.31   0.04      0.65
16 0.6559375 0.5941538 0.026205099    0.34   0.08      0.58
17 0.4030078 0.3377007 0.006661040    0.59   0.04      0.37
18 0.4094531 0.2115853 0.029256556    0.54   0.15      0.31
19 0.7211328 0.4640747 0.088936686    0.20   0.24      0.56
20 0.6843359 0.4430732 0.064380731    0.22   0.22      0.56
21 0.7674219 0.6826427 0.055897874    0.20   0.14      0.66
22 0.4766797 0.1304384 0.063354746    0.37   0.36      0.27
23 0.3894531 0.1312875 0.039061372    0.47   0.34      0.19
24 0.4513281 0.3241313 0.021311333    0.48   0.16      0.36
25 0.7458594 0.6019148 0.037598296    0.19   0.15      0.66
26 0.7160937 0.2972151 0.096108677    0.16   0.32      0.52
27 0.6361328 0.4462298 0.039002573    0.28   0.20      0.52
28 0.4977344 0.2504062 0.038060940    0.40   0.25      0.35
29 0.5226172 0.4821443 0.018419558    0.35   0.18      0.47
30 0.5943750 0.5118283 0.026431460    0.32   0.15      0.53
31 0.6770703 0.6369720 0.016874800    0.33   0.04      0.63
32 0.5537891 0.5540244 0.001309428    0.44   0.01      0.55
33 0.6637109 0.6123517 0.008836042    0.34   0.01      0.65
34 0.6268359 0.2330919 0.086622268    0.19   0.41      0.40
35 0.7016797 0.5447659 0.073938988    0.19   0.22      0.59
36 0.6347656 0.5745955 0.030171169    0.34   0.10      0.56
37 0.7117578 0.4327179 0.065860121    0.19   0.25      0.56
38 0.4571875 0.1955529 0.042571109    0.43   0.33      0.24
39 0.5619922 0.3594198 0.038133049    0.29   0.28      0.43
40 0.6194531 0.1910347 0.085942986    0.26   0.42      0.32
41 0.5763672 0.1513592 0.083902216    0.25   0.42      0.33
42 0.6428125 0.4492460 0.072786442    0.26   0.26      0.48
43 0.6173828 0.6116000 0.035860793    0.27   0.19      0.54
44 0.5630078 0.0835982 0.083049547    0.22   0.42      0.36
45 0.4400781 0.3564242 0.024466567    0.50   0.17      0.33
46 0.3148828 0.1279069 0.019868182    0.56   0.23      0.21
47 0.3809375 0.3132723 0.019384067    0.46   0.24      0.30
48 0.6242969 0.2438827 0.074404267    0.21   0.36      0.43
49 0.7151563 0.3333273 0.089520153    0.15   0.29      0.56
50 0.5085937 0.1232134 0.069724747    0.29   0.44      0.27
