   prop.aneu  prob.meio  prob.mito euploid mosaic aneuploid
1  0.5593359 0.13592484 0.06534020    0.31   0.29      0.40
2  0.7604297 0.04241662 0.15375832    0.09   0.48      0.43
3  0.6015625 0.40789661 0.04802873    0.36   0.21      0.43
4  0.5363281 0.44133958 0.02984544    0.34   0.22      0.44
5  0.4660547 0.40176966 0.01736073    0.41   0.17      0.42
6  0.6532813 0.21629604 0.09805850    0.19   0.37      0.44
7  0.5228125 0.42309003 0.02232584    0.43   0.13      0.44
8  0.6635547 0.14616133 0.11445946    0.13   0.44      0.43
9  0.7015234 0.16485890 0.13041038    0.12   0.46      0.42
10 0.6845703 0.16882580 0.10839589    0.14   0.43      0.43
