   prop.aneu prob.meio  prob.mito euploid mosaic aneuploid
1  0.4967578 0.3398451 0.02726322    0.46   0.16      0.38
2  0.5152734 0.4653648 0.02401765    0.39   0.16      0.45
3  0.5910547 0.4058041 0.05518890    0.28   0.25      0.47
4  0.5682031 0.4409324 0.04137539    0.38   0.17      0.45
5  0.6318750 0.3844445 0.05543315    0.27   0.27      0.46
6  0.6051562 0.4890259 0.02778132    0.36   0.12      0.52
7  0.5943359 0.3694151 0.04497596    0.29   0.20      0.51
8  0.5663281 0.3178813 0.05604556    0.32   0.23      0.45
9  0.4553125 0.2664031 0.01595596    0.44   0.16      0.40
10 0.5905078 0.2552368 0.07401736    0.31   0.29      0.40
