   prop.aneu prob.meio    prob.mito euploid mosaic aneuploid
1  0.4776953 0.4271832 0.0153542254    0.50   0.08      0.42
2  0.4449219 0.3175414 0.0228049464    0.51   0.14      0.35
3  0.7793750 0.5352800 0.0893457811    0.18   0.26      0.56
4  0.5430469 0.4587311 0.0282406884    0.39   0.14      0.47
5  0.7391797 0.5137545 0.0398479933    0.19   0.18      0.63
6  0.5202734 0.4894100 0.0030469217    0.46   0.04      0.50
7  0.6920703 0.6591507 0.0239907934    0.25   0.10      0.65
8  0.6200391 0.4878273 0.0237038315    0.27   0.17      0.56
9  0.5792969 0.4980877 0.0043834345    0.41   0.02      0.57
10 0.6712109 0.3074766 0.0757520141    0.24   0.32      0.44
11 0.5738281 0.1723039 0.0779582274    0.25   0.38      0.37
12 0.5848047 0.5075721 0.0077926491    0.44   0.00      0.56
13 0.7566016 0.4990214 0.0797221763    0.15   0.24      0.61
14 0.6910156 0.3457274 0.0794757139    0.17   0.30      0.53
15 0.5790234 0.3538040 0.0563835814    0.31   0.29      0.40
16 0.5510938 0.2713470 0.0548888838    0.33   0.31      0.36
17 0.5730469 0.5935187 0.0280810425    0.34   0.18      0.48
18 0.4205859 0.4654940 0.0004671295    0.58   0.00      0.42
19 0.5708594 0.2942513 0.0551788837    0.36   0.21      0.43
20 0.6778516 0.3111598 0.0802011609    0.24   0.27      0.49
21 0.6239062 0.3319133 0.0564841819    0.24   0.31      0.45
22 0.7709766 0.3830604 0.1293821870    0.14   0.30      0.56
23 0.4269922 0.3056001 0.0274934883    0.45   0.23      0.32
24 0.5353516 0.2878318 0.0518228491    0.33   0.35      0.32
25 0.5098047 0.1141875 0.0706436953    0.38   0.38      0.24
26 0.4629297 0.3799755 0.0293593665    0.46   0.18      0.36
27 0.5816797 0.4552730 0.0452455762    0.25   0.31      0.44
28 0.6721094 0.3767253 0.0726078046    0.23   0.28      0.49
29 0.5355469 0.4797182 0.0202379052    0.40   0.15      0.45
30 0.7464844 0.4597667 0.0848484905    0.14   0.26      0.60
31 0.3251562 0.2384414 0.0151517796    0.51   0.27      0.22
32 0.6507031 0.2350153 0.0878183970    0.27   0.36      0.37
33 0.5974609 0.2761520 0.0570241944    0.29   0.28      0.43
34 0.7021875 0.6236007 0.0331629002    0.24   0.10      0.66
35 0.6690625 0.5017701 0.0515415522    0.20   0.27      0.53
36 0.3686719 0.3204078 0.0156007416    0.61   0.10      0.29
37 0.4818359 0.4477243 0.0107232924    0.46   0.11      0.43
38 0.4400781 0.1254669 0.0528577082    0.43   0.35      0.22
39 0.6634375 0.2587069 0.0894227673    0.16   0.39      0.45
40 0.6153906 0.3570644 0.0624850052    0.27   0.24      0.49
41 0.7193359 0.4341540 0.0819010218    0.17   0.25      0.58
42 0.5749609 0.4584739 0.0203041239    0.35   0.14      0.51
43 0.5223047 0.5522678 0.0037195235    0.47   0.02      0.51
44 0.6035938 0.3666458 0.0661372927    0.24   0.37      0.39
45 0.6789453 0.6945105 0.0148065260    0.27   0.06      0.67
46 0.6271094 0.5999562 0.0207559518    0.29   0.13      0.58
47 0.6703516 0.5840816 0.0354312968    0.27   0.16      0.57
48 0.4856250 0.3129979 0.0242962074    0.34   0.27      0.39
49 0.6834766 0.5141126 0.0438007305    0.26   0.17      0.57
50 0.5047266 0.3365231 0.0414916836    0.30   0.36      0.34
