   prop.aneu prob.meio  prob.mito euploid mosaic aneuploid
1  0.5489453 0.5751966 0.01589345    0.42   0.09      0.49
2  0.5666797 0.5190199 0.03133828    0.36   0.17      0.47
3  0.5712891 0.4361402 0.03516309    0.36   0.15      0.49
4  0.6282422 0.4446967 0.04924950    0.35   0.17      0.48
5  0.6367578 0.3801928 0.06050837    0.30   0.22      0.48
6  0.4951563 0.3006920 0.04581439    0.42   0.23      0.35
7  0.5669141 0.6554547 0.01798783    0.36   0.14      0.50
8  0.6025391 0.5066452 0.03357836    0.31   0.18      0.51
9  0.5814453 0.4749855 0.02780992    0.32   0.17      0.51
10 0.5558594 0.2958197 0.04846498    0.33   0.27      0.40
