   prop.aneu  prob.meio   prob.mito euploid mosaic aneuploid
1  0.7778125 0.49012102 0.094934019    0.17   0.17      0.66
2  0.4413281 0.01979686 0.072917558    0.36   0.42      0.22
3  0.5118750 0.21176570 0.059351359    0.35   0.33      0.32
4  0.7246875 0.58981253 0.060931151    0.18   0.18      0.64
5  0.5807031 0.31346201 0.064893001    0.33   0.25      0.42
6  0.4595703 0.16955848 0.048326491    0.41   0.33      0.26
7  0.5922266 0.42201338 0.033201498    0.36   0.15      0.49
8  0.5729688 0.13350588 0.080988110    0.20   0.43      0.37
9  0.5732812 0.45886236 0.029263626    0.38   0.14      0.48
10 0.4776563 0.28928652 0.034397900    0.38   0.27      0.35
11 0.5725000 0.21193803 0.074823413    0.27   0.41      0.32
12 0.6853125 0.45378799 0.051535233    0.19   0.22      0.59
13 0.7267969 0.64398807 0.053908553    0.25   0.11      0.64
14 0.5055859 0.01425858 0.079005009    0.26   0.44      0.30
15 0.6199219 0.19857421 0.084893079    0.22   0.31      0.47
16 0.7507812 0.52031008 0.062196113    0.18   0.20      0.62
17 0.6301562 0.28637659 0.090095918    0.19   0.36      0.45
18 0.7364063 0.53353095 0.070382861    0.16   0.20      0.64
19 0.6218750 0.34880036 0.049582420    0.29   0.21      0.50
20 0.6535156 0.29811025 0.086100229    0.19   0.34      0.47
21 0.4719141 0.39785524 0.019890871    0.43   0.19      0.38
22 0.5858203 0.25896236 0.074763892    0.23   0.42      0.35
23 0.6132422 0.24374236 0.085500777    0.19   0.42      0.39
24 0.6835156 0.51354190 0.049582343    0.29   0.15      0.56
25 0.3199219 0.23472130 0.023358259    0.51   0.27      0.22
26 0.7076172 0.16310435 0.114527634    0.17   0.40      0.43
27 0.5151562 0.46862010 0.001641292    0.49   0.00      0.51
28 0.7271484 0.52727251 0.040068405    0.23   0.15      0.62
29 0.5816797 0.43882667 0.040269906    0.28   0.23      0.49
30 0.5606250 0.14926825 0.080330312    0.31   0.40      0.29
31 0.5283594 0.52832188 0.016038595    0.38   0.14      0.48
32 0.7632813 0.57066074 0.088619387    0.18   0.25      0.57
33 0.5414453 0.22213613 0.053800148    0.29   0.35      0.36
34 0.5893750 0.50082631 0.048412736    0.35   0.16      0.49
35 0.7345312 0.29932677 0.109368560    0.19   0.29      0.52
36 0.6841797 0.53818731 0.039542142    0.26   0.13      0.61
37 0.7643359 0.46555143 0.115789979    0.13   0.28      0.59
38 0.6966797 0.50274219 0.063081107    0.15   0.30      0.55
39 0.5647656 0.48789227 0.018045310    0.35   0.13      0.52
40 0.5298437 0.38157604 0.046997890    0.35   0.28      0.37
41 0.4748438 0.45739085 0.010634424    0.48   0.08      0.44
42 0.5901953 0.17145350 0.087215959    0.21   0.38      0.41
43 0.3843359 0.09036010 0.054925892    0.41   0.40      0.19
44 0.7567969 0.56693492 0.076761369    0.18   0.22      0.60
45 0.5620312 0.50849359 0.007773822    0.38   0.09      0.53
46 0.7320703 0.47624349 0.075755418    0.19   0.25      0.56
47 0.6986328 0.58519956 0.055954582    0.15   0.22      0.63
48 0.5360547 0.50712821 0.012299219    0.40   0.10      0.50
49 0.6490625 0.21031565 0.103642490    0.18   0.41      0.41
50 0.6878516 0.54190678 0.054176653    0.20   0.21      0.59
